contract_item	kind	profile	owners	owners_count	mapping_details	suggested_status	covered_candidates	any_enforcement_point	any_proof	notes
AT-001	AT	CSP	S6-010,S8-011	2	S6-010:contract_must_evidence.anchor;S8-011:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S6-010	1	1	
AT-002	AT	GOP	S13-000	1	S13-000:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-003	AT	CSP	S8-013	1	S8-013:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-004	AT	CSP	S3-000,S3-002	2	S3-000:contract_refs|enforcing_contract_ats;S3-002:contract_refs|enforcing_contract_ats	COVERED	S3-000,S3-002	1	1	
AT-005	AT	GOP	S8-002	1	S8-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-010	AT	CSP	S6-004,S9-003	2	S6-004:enforcing_contract_ats;S9-003:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S6-004	1	1	
AT-011	AT	CSP	S9-003	1	S9-003:contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-012	AT	CSP	S8-001	1	S8-001:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-013	AT	CSP	S3-000,S7-002	2	S3-000:contract_must_evidence.anchor|contract_refs;S7-002:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	COVERED	S3-000	1	1	
AT-015	AT	CSP	S5-002,S5-004	2	S5-002:contract_refs|enforcing_contract_ats;S5-004:enforcing_contract_ats	COVERED	S5-002,S5-004	1	1	
AT-016	AT	CSP	S3-000	1	S3-000:contract_refs|enforcing_contract_ats	COVERED	S3-000	1	1	
AT-017	AT	CSP	S3-000	1	S3-000:contract_refs|enforcing_contract_ats	COVERED	S3-000	1	1	
AT-018	AT	CSP	S3-000	1	S3-000:contract_refs|enforcing_contract_ats	COVERED	S3-000	1	1	
AT-019	AT	CSP	S3-000	1	S3-000:contract_refs|enforcing_contract_ats	COVERED	S3-000	1	1	
AT-020	AT	CSP	S2-000,S2-001,S8-001	3	S2-000:contract_refs;S2-001:contract_refs;S8-001:contract_refs|enforcing_contract_ats	COVERED	S2-000,S2-001	1	1	
AT-021	AT	CSP	S2-000,S8-001	2	S2-000:contract_refs;S8-001:contract_refs|enforcing_contract_ats	COVERED	S2-000	1	1	
AT-022	AT	CSP	S2-003,S8-008	2	S2-003:contract_must_evidence.anchor|contract_refs;S8-008:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	AMBIGUOUS	S2-003	1	1	
AT-023	AT	CSP	S3-000,S8-013	2	S3-000:contract_refs;S8-013:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED	S3-000	1	1	
AT-024	AT	CSP	S8-014	1	S8-014:contract_must_evidence.anchor|contract_refs|enforcing_contract_ats	CLAIMED		1	1	
AT-025	AT	CSP	S3-000,S8-014	2	S3-000:contract_refs;S8-014:contract_refs|enforcing_contract_ats	CLAIMED	S3-000	1	1	
