story_id	passes	has_proof_arrays	has_enforcement_point	ats_any_field	contract_refs_raw	anchors_raw	scope_touch
S0-000	True	1	0		P0-A Launch Policy Baseline		docs/launch_policy.md,evidence/phase0/policy/launch_policy_snapshot.md
S0-001	True	1	0		P0-B Environment Isolation		docs/env_matrix.md,evidence/phase0/env/env_matrix_snapshot.md
S0-002	True	1	0		P0-C Keys & Secrets Baseline		docs/keys_and_secrets.md,evidence/phase0/keys/key_scope_probe.json
S0-003	True	1	0		P0-D Break-Glass Runbook		docs/break_glass_runbook.md,evidence/phase0/break_glass/runbook_snapshot.md,evidence/phase0/break_glass/drill.md,evidence/phase0/break_glass/log_excerpt.txt
S0-004	True	1	1		P0-E Health + Owner Status Scaffolding|§7.0 Owner Control Plane Endpoints (Read-Only, Owner-Grade)		docs/health_endpoint.md,crates/soldier_infra/src/lib.rs
S0-005	True	1	0		P0-F Machine Policy Loader Baseline|§2.2 PolicyGuard|Appendix A: Configuration Defaults (Safety-Critical Thresholds)	P0-F Machine Policy Loader Baseline	config/policy.json,tools/policy_loader.py,tools/phase0_meta_test.py,tests/phase0/test_machine_policy_loader_and_config.md
S1-001	True	1	1	AT-901,AT-905	CONTRACT.md 0.X Repository Layout & Canonical Module Mapping (Non-Negotiable)|CONTRACT.md AT-905		Cargo.toml,.gitignore,crates/soldier_core/Cargo.toml,crates/soldier_core/src/lib.rs,crates/soldier_infra/Cargo.toml,crates/soldier_infra/src/lib.rs
S1-002	True	1	1	AT-333	CONTRACT.md AT-333	CONTRACT.md instrument_kind: one of `option | linear_future | inverse_future | perpetual` (derived from venue metadata).	crates/soldier_core/src/venue/mod.rs,crates/soldier_core/src/venue/types.rs,crates/soldier_core/src/risk/state.rs,crates/soldier_core/src/risk/mod.rs,crates/soldier_core/src/lib.rs,crates/soldier_core/tests/test_instrument_kind_mapping.rs
S1-003	True	1	1	AT-104,AT-279	CONTRACT.md 1.0.X Instrument Metadata Freshness (Instrument Cache TTL) — MUST implement|CONTRACT.md AT-104|VR-013	CONTRACT.md 1.0.X Instrument Metadata Freshness (Instrument Cache TTL) — MUST implement	crates/soldier_core/src/venue/cache.rs,crates/soldier_core/src/venue/mod.rs,crates/soldier_core/tests/test_instrument_cache_ttl.rs
S1-004	True	1	1	AT-277	CONTRACT.md OrderSize struct (MUST implement):|CONTRACT.md 1.0 Instrument Units & Notional Invariants (Deribit Quantity Contract)	CONTRACT.md OrderSize struct (MUST implement):	crates/soldier_core/src/execution/order_size.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/lib.rs,crates/soldier_core/tests/test_order_size.rs
S1-005	True	1	1	AT-277	CONTRACT.md Dispatcher Rules (Deribit request mapping):	CONTRACT.md Dispatcher Rules (Deribit request mapping):	crates/soldier_core/src/execution/dispatch_map.rs,crates/soldier_core/src/execution/mod.rs,crates/soldier_core/src/lib.rs,crates/soldier_core/tests/test_dispatch_map.rs
